# {"t_start": 1587789559.7062473, "env_id": "DartHopperPT-v1"} 
r,l,t
-0.968819,4,2.87973
-2.592274,5,2.879859
-3.634172,8,2.884615
-3.450647,6,2.884751
-2.396249,5,2.888894
-2.604257,9,2.888914
-6.725563,8,2.890881
-2.497401,5,2.89093
-3.259851,10,2.892939
-2.445657,5,2.89488
-0.346728,5,2.895074
-3.985997,3,2.895115
-2.542803,4,2.898898
-4.124636,3,2.901381
-5.869402,6,2.90327
-10.52412,7,2.903375
-0.422621,5,2.903403
-2.147312,4,2.903734
-3.594272,5,2.905708
-3.755175,3,2.905795
1.36871,12,2.906104
-2.235845,3,2.908311
-2.379024,4,2.912593
-4.345481,5,2.914605
-5.290103,5,2.916665
-5.252331,4,2.916753
-3.594069,7,2.918835
-3.906936,7,2.918989
0.103992,8,2.923048
-3.892222,6,2.927002
-4.163175,4,2.927103
-2.281243,5,2.927228
-1.949078,6,2.929573
-4.184671,6,2.931438
-1.591018,9,2.931715
-2.331173,4,2.937286
-2.425555,5,2.937408
-3.454921,7,2.937533
-2.300689,4,2.939481
-8.988016,6,2.939688
-1.812268,4,2.939714
-2.205664,5,2.94743
-3.163707,10,2.94744
-0.021047,5,2.947592
-5.89654,6,2.951519
-1.057558,7,2.951637
3.246595,22,2.95166
-0.726288,5,2.957769
-1.804643,9,2.958096
-2.899099,4,2.960002
-4.011096,6,2.960292
-1.588991,4,2.960348
-6.179559,7,2.962391
-3.140215,4,2.96654
-8.138614,15,2.970793
-8.913383,6,2.972773
-3.92308,6,2.972812
-4.968969,6,2.972882
-5.909889,10,2.972905
-1.996081,5,2.972978
-2.905499,8,2.974919
-3.908386,3,2.977101
-5.105758,5,2.977103
-2.531852,3,2.979384
-2.641908,2,2.981656
-4.372448,6,2.985533
-1.283516,3,2.985878
-5.129778,8,2.989924
-0.724689,6,2.989995
-3.596397,8,2.990169
-5.894435,7,2.990177
-4.066413,5,2.992417
-4.300858,4,2.994229
6.000381,12,2.998266
-3.458562,4,2.998385
-2.434588,4,2.998571
-7.658182,7,3.000546
-3.976497,5,3.000596
-4.070464,6,3.002953
-6.944452,6,3.006657
-2.954149,3,3.006832
-2.211071,5,3.008747
-5.577199,5,3.008782
-4.7629,5,3.008856
-1.214182,9,3.011023
-2.361823,4,3.011035
-4.099724,3,3.013125
-1.824354,4,3.019162
-4.764014,5,3.019174
-1.272435,4,3.019279
-2.24547,6,3.021234
-5.987219,5,3.023233
-2.651813,9,3.025445
-2.443139,3,3.025587
2.032906,9,3.027806
-1.881773,4,3.027923
-3.823215,5,3.031749
-3.536037,3,3.031986
2.081606,6,3.032162
-2.697555,5,3.034212
-4.633807,5,3.036165
-2.307999,4,3.036551
-3.383235,4,3.040428
-2.146564,3,3.042622
-0.590257,8,3.044772
-3.046184,8,3.048971
7.041323,24,3.050903
-5.990339,8,3.050981
-4.688027,7,3.054689
-2.984471,9,3.054944
-4.626333,5,3.054947
-3.669058,3,3.057036
-9.523458,12,3.057262
-2.252107,5,3.059144
-4.152776,5,3.061211
-5.308997,9,3.061265
-5.354097,5,3.065109
-2.141987,5,3.065464
-4.299276,5,3.067511
-2.489853,6,3.067589
-8.12671,6,3.069466
-3.61647,4,3.069696
-4.106593,5,3.071712
-0.613369,8,3.075639
-6.625721,5,3.07575
-3.948634,5,3.077646
-7.921128,6,3.081546
-5.63152,7,3.081644
-2.583523,5,3.081826
-6.486797,8,3.081919
-7.030586,7,3.084237
-2.77201,4,3.086571
-3.80154,3,3.088465
0.776502,8,3.09241
-4.587892,5,3.092628
-2.060048,4,3.092663
0.899332,9,3.09495
0.019961,7,3.097269
-4.148351,6,3.09921
-3.992414,3,3.099435
0.884309,9,3.101372
-4.486872,3,3.101463
-6.250929,6,3.105209
-7.888483,9,3.107129
-4.389304,7,3.107351
1.483253,6,3.111397
-5.299372,7,3.113401
-2.147858,8,3.117378
-0.03241,10,3.117561
1.322263,8,3.117572
-3.914872,4,3.119707
-3.196794,7,3.121527
-1.428983,4,3.121793
-6.229712,8,3.123644
-1.151422,11,3.127598
-6.63558,5,3.127725
-2.522483,5,3.127739
-5.841259,5,3.127946
-2.926877,6,3.131816
